treatment,event,window_days,accounts,treated_rate,outcome_rate,treated_outcome_rate,control_outcome_rate
workspace_created_7d,workspace_created,30,935,0.2427807486631016,0.038502673796791446,0.06167400881057269,0.031073446327683617
report_generated_7d,report_generated,30,935,0.2288770053475936,0.038502673796791446,0.037383177570093455,0.038834951456310676
workflow_created_14d,workflow_created,90,912,0.09758771929824561,0.04276315789473684,0.0449438202247191,0.0425273390036452
api_call_made_14d,api_call_made,14,945,0.28359788359788357,0.04126984126984127,0.03731343283582089,0.04283604135893648
