treatment,accounts,treated_accounts,control_accounts,outcome_events,treated_rate,outcome_rate,naive_difference,cross_fitted_propensity_auc,treated_propensity_mean,control_propensity_mean,treated_below_0_05,treated_above_0_95,control_below_0_05,control_above_0_95,common_support_rate
workspace_created_7d,935,227,708,36,0.2427807486631016,0.038502673796791446,0.03060056248288907,0.6437318001941312,0.3064679044352174,0.22489697504434397,0.04405286343612335,0.0,0.07768361581920905,0.0,0.93048128342246
report_generated_7d,935,214,721,36,0.2288770053475936,0.038502673796791446,-0.001451773886217221,0.6246775636123245,0.29336330821927764,0.21214625036978962,0.04672897196261682,0.0,0.049930651872399444,0.0,0.9508021390374332
workflow_created_14d,912,89,823,39,0.09758771929824561,0.04276315789473684,0.0024164812210739003,0.5617158381913253,0.11269851269078464,0.09622506339042586,0.2696629213483146,0.0,0.3195625759416768,0.0,0.6853070175438597
api_call_made_14d,945,268,677,39,0.28359788359788357,0.04126984126984127,-0.005522608523115591,0.6404462179501312,0.3506455865011118,0.2560672837045027,0.0037313432835820895,0.0,0.01624815361890694,0.0,0.9873015873015873
