treatment,question,accounts,treated_accounts,control_accounts,treated_rate,outcome_rate,treated_outcome_rate,control_outcome_rate,naive_difference,ipw_ate,aipw_ate,aipw_standard_error,ci_lower_95,ci_upper_95,aipw_ate_common_support,aipw_common_support_standard_error,common_support_ci_lower_95,common_support_ci_upper_95,common_support_rate,common_support_accounts,common_support_treated,common_support_control,factual_brier_score,mu1_p99,mu0_p99,cate_p99,recommendation,product_hypothesis
api_call_made_14d,Does early API usage in the first 14 days increase 90-day conversion?,945,268,677,0.28359788359788357,0.04126984126984127,0.03731343283582089,0.04283604135893648,-0.005522608523115591,0.008826465127428913,-0.0016189767790044667,0.023380861911897387,-0.047445466126323346,0.044207512568314414,0.0014198620284132952,0.023339191580671652,-0.044324953469703145,0.04716467752652973,0.9925925925925926,938,267,671,0.04179380802413197,0.1736616206896092,0.21412642144776142,0.15523715854207973,Exploratory experiment only — interval includes zero,"Route technical accounts to API onboarding, docs, and solutions-engineer support."
report_generated_7d,Does generating a report in the first 30 days increase 90-day conversion?,935,214,721,0.2288770053475936,0.038502673796791446,0.037383177570093455,0.038834951456310676,-0.001451773886217221,0.028005495770555233,0.020636268715150164,0.028174676987208946,-0.03458609817977937,0.0758586356100797,0.028142973996240418,0.02882036712821802,-0.0283449455750669,0.08463089356754774,0.9700534759358289,907,207,700,0.03850064344737658,0.1584413457193934,0.11424054536356179,0.1334922429395826,Exploratory experiment only — interval includes zero,"Reduce time-to-first-report; test report templates, sample data, and in-app prompts."
workspace_created_7d,Does creating a workspace in the first 30 days increase 90-day conversion?,935,227,708,0.2427807486631016,0.038502673796791446,0.06167400881057269,0.031073446327683617,0.03060056248288907,0.04012717666678902,0.02926047776413547,0.027357991463075777,-0.024361185503493053,0.082882141031764,0.017006463891817244,0.018385996468760827,-0.019030089186953973,0.05304301697058846,0.9561497326203209,894,219,675,0.03887783845632332,0.1957655953564117,0.10458654072968931,0.18350084198947902,Exploratory experiment only — interval includes zero,Improve onboarding toward workspace creation; test guided setup and workspace templates.
workflow_created_14d,Does creating a workflow in the first 90 days increase 90-day conversion?,912,89,823,0.09758771929824561,0.04276315789473684,0.0449438202247191,0.0425273390036452,0.0024164812210739003,0.003927174759914733,-0.02053373324567334,0.03465328664073063,-0.08845417506150537,0.047386708570158684,-0.00010917324781915665,0.04701031098158801,-0.09224938277173166,0.09203103627609334,0.7280701754385965,664,68,596,0.0446200512742463,0.23982056452887845,0.1674528724060217,0.1657697811651417,Inconclusive — collect more data,Help users operationalize value; test workflow recommendations after dashboard/report use.
